distrito,zona,lat,lon
RIO PEQUENO,ZEIS_1,-23.574549675142766,-46.75857967949296
RIO PEQUENO,ZEIS_1,-23.57932736438978,-46.77717807770305
RIO PEQUENO,ZEIS_1,-23.56095330560062,-46.744292938008876
RIO PEQUENO,ZEIS_2,-23.56005546901835,-46.744369952828976
RIO PEQUENO,ZM_u,-23.56692327794814,-46.75895798595796
RIO PEQUENO,ZM_u,-23.56068151357017,-46.754461810729815
RIO PEQUENO,ZM_u,-23.578801418244762,-46.75292634814563
RIO PEQUENO,ZM_u,-23.57405136120443,-46.74967922008598
RIO PEQUENO,ZM_u,-23.57770983055078,-46.76464718179687
RIO PEQUENO,ZM_u,-23.561122620124223,-46.75776612680746
RIO PEQUENO,ZM_u,-23.55910844744005,-46.75891862516906
RIO PEQUENO,ZM_u,-23.568375763027575,-46.74911504308086
RIO PEQUENO,ZM_u,-23.563080996271438,-46.76212487579682
CIDADE TIRADENTES,ZEIS_1,-23.571795103465487,-46.38537023234594
CIDADE TIRADENTES,ZEIS_1,-23.573595806334776,-46.395851024692575
CIDADE TIRADENTES,ZEIS_1,-23.570417919525834,-46.41069316684275
CIDADE TIRADENTES,ZEIS_1,-23.586987937184595,-46.39644730196826
CIDADE TIRADENTES,ZEIS_1,-23.58442279807423,-46.383603609055406
CIDADE TIRADENTES,ZEIS_1,-23.587131836088933,-46.38363201572317
CIDADE TIRADENTES,ZEIS_1,-23.581687555345564,-46.386514449818726
CIDADE TIRADENTES,ZEIS_1,-23.585036262813976,-46.413606517358566
CIDADE TIRADENTES,ZEIS_1,-23.57692798367707,-46.41153206508219
CIDADE TIRADENTES,ZEIS_1,-23.571137115618118,-46.420678487734875
CIDADE TIRADENTES,ZEIS_2,-23.563370717601423,-46.412218762286166
CIDADE TIRADENTES,ZEIS_2,-23.575122440359348,-46.38557728724628
CIDADE TIRADENTES,ZMIS_a,-23.576640271237988,-46.39363639563573
CIDADE TIRADENTES,ZMIS_a,-23.59154619777964,-46.39430880298287
CIDADE TIRADENTES,ZMIS_a,-23.589430098864614,-46.40388325409315
CIDADE TIRADENTES,ZMIS_a,-23.582250590492805,-46.39673687103072
CIDADE TIRADENTES,ZMIS_a,-23.594742702846098,-46.41472006396875
CIDADE TIRADENTES,ZMIS_a,-23.595455156032564,-46.398091532416416
CIDADE TIRADENTES,ZMIS_a,-23.59517619437507,-46.41136586895181
CIDADE TIRADENTES,ZMIS_a,-23.596951357967182,-46.39329204751675
CIDADE TIRADENTES,ZMIS_a,-23.601376479345102,-46.39298615622184
CIDADE TIRADENTES,ZMIS_a,-23.59803218093809,-46.39115471417977
CIDADE TIRADENTES,ZMIS_a,-23.60955883348331,-46.398441673107556
CIDADE TIRADENTES,ZMIS_a,-23.586990035563037,-46.395769767789055
CIDADE TIRADENTES,ZMIS_a,-23.608855269397594,-46.40153620441434
CIDADE TIRADENTES,ZMIS_a,-23.59895692698743,-46.3936220808255
CIDADE TIRADENTES,ZMIS_a,-23.60010071981925,-46.40433989670896
